category,level,question,option1,option2,option3,option4,correctAnswer,trivia,mediaUrl,mediaType,xpReward,timeLimit,isActive
World Geography,medium,Select the most relevant term for World Geography.,Valhalla,topography,vault,structural,topography,,,text,40,10,true
World Geography,medium,Which term is most commonly used in World Geography?,funnel,hero,demand,time zone,time zone,,,text,40,10,true
World Geography,medium,Which term is most commonly used in World Geography?,atoll,altitude,circulatory system,climate model,altitude,,,text,40,10,true
World Geography,medium,Select the most relevant term for World Geography.,topography,reaction,sequel,torch,topography,,,text,40,10,true
World Geography,medium,Which option is a key concept in World Geography?,longitude,conservation,Tamil Nadu,publisher,longitude,,,text,40,10,true
World Geography,medium,Which term is most commonly used in World Geography?,policy debate,pilgrimage,recycling,continent,continent,,,text,40,10,true
World Geography,hard,Which option best characterizes World Geography?,decor,director,radian,globe,globe,,,text,80,8,true
World Geography,hard,Which option best characterizes World Geography?,box office,Indian Ocean,map scale,laureate,map scale,,,text,80,8,true
World Geography,hard,Which option best characterizes World Geography?,continent,Hollywood,ISP,ceremony,continent,,,text,80,8,true
World Geography,hard,Which term is most specifically associated with World Geography?,modernism,packaging,continent,Andes,continent,,,text,80,8,true
World Geography,hard,Which option best characterizes World Geography?,continent,inflection,gene,parliament,continent,,,text,80,8,true
World Geography,hard,Select the most precise term for World Geography.,data structure,Android,accuracy,latitude,latitude,,,text,80,8,true
World Geography,hard,Select the most precise term for World Geography.,Danube,longitude,leadership,legislature,longitude,,,text,80,8,true
World Geography,hard,Select the most precise term for World Geography.,Kerala,bull market,latitude,nervous system,latitude,,,text,80,8,true
World Geography,hard,Pick the most specific concept tied to World Geography.,REST,globe,mission control,watercolor,globe,,,text,80,8,true
World Geography,hard,Pick the most specific concept tied to World Geography.,globe,parliament,Mojave,toxicity,globe,,,text,80,8,true
World Geography,hard,Which option best characterizes World Geography?,bake,globe,demand,bishop,globe,,,text,80,8,true
World Geography,hard,Which option best characterizes World Geography?,symptom,REST,map scale,light-year,map scale,,,text,80,8,true
World Geography,hard,Which term is most specifically associated with World Geography?,latitude,Maurya Empire,liability,K2,latitude,,,text,80,8,true
World Geography,hard,Select the most precise term for World Geography.,parallel,watercolor,altitude,tributary,altitude,,,text,80,8,true
World Geography,hard,Which option best characterizes World Geography?,hemisphere,perspective,Yggdrasil,formation,hemisphere,,,text,80,8,true
World Geography,hard,Pick the most specific concept tied to World Geography.,continent,session,canvas,Kerala,continent,,,text,80,8,true
World Geography,hard,Which option best characterizes World Geography?,head of state,triangle,education reform,globe,globe,,,text,80,8,true
World Geography,hard,Pick the most specific concept tied to World Geography.,Harappa,screenplay,map scale,momentum,map scale,,,text,80,8,true
World Geography,hard,Which term is most specifically associated with World Geography?,society,Loki,latitude,responsive layout,latitude,,,text,80,8,true
World Geography,hard,Which option best characterizes World Geography?,equator,cuisine,public health,habitat,equator,,,text,80,8,true
World Geography,hard,Which term is most specifically associated with World Geography?,merger,ecosystem,latitude,opera,latitude,,,text,80,8,true
World Geography,hard,Pick the most specific concept tied to World Geography.,seed,firewall,latitude,conductor,latitude,,,text,80,8,true
World Geography,hard,Which option best characterizes World Geography?,inheritance,continent,habitat,composer,continent,,,text,80,8,true
World Geography,hard,Which option best characterizes World Geography?,entrepreneur,prime number,goal,altitude,altitude,,,text,80,8,true
Indian History,easy,Pick the correct term for Indian History.,fertilizer,responsive design,tricolor,Plassey,Plassey,,,text,20,12,true
Indian History,easy,Which option belongs to Indian History?,screen,multiple,Champaran,asset,Champaran,,,text,20,12,true
Indian History,easy,Pick the correct term for Indian History.,Plassey,trail,policy debate,myth,Plassey,,,text,20,12,true
Indian History,easy,Which of these is related to Indian History?,adaptation,Kerala,Ashoka,accessory,Ashoka,,,text,20,12,true
Indian History,easy,Which of these is related to Indian History?,Brahma,federalism,Indus Valley,conversion,Indus Valley,,,text,20,12,true
Indian History,easy,Pick the correct term for Indian History.,arid,run rate,Mughal Empire,predicate,Mughal Empire,,,text,20,12,true
Indian History,easy,Which option belongs to Indian History?,function,warehouse,Stockholm,Gupta Empire,Gupta Empire,,,text,20,12,true
Indian History,easy,Select a term associated with Indian History.,DOM,dish,Maurya Empire,angle,Maurya Empire,,,text,20,12,true
Indian History,easy,Which option belongs to Indian History?,Indus Valley,argument,translation,banknote,Indus Valley,,,text,20,12,true
Indian History,easy,Which of these is related to Indian History?,spice,emulator,Maurya Empire,heuristic,Maurya Empire,,,text,20,12,true
Indian History,easy,Pick the correct term for Indian History.,level,Everest,protocol,Mughal Empire,Mughal Empire,,,text,20,12,true
Indian History,easy,Which option belongs to Indian History?,cash flow,façade,Mughal Empire,exoplanet,Mughal Empire,,,text,20,12,true
Indian History,easy,Pick the correct term for Indian History.,epic,satellite,Rebellion of 1857,Mississippi,Rebellion of 1857,,,text,20,12,true
Indian History,easy,Which option belongs to Indian History?,deuce,Divine Comedy,cockpit,Indus Valley,Indus Valley,,,text,20,12,true
Indian History,easy,Pick the correct term for Indian History.,concert,Ashoka,Vishnu,Hera,Ashoka,,,text,20,12,true
Indian History,easy,Pick the correct term for Indian History.,genre,dividend,Mughal Empire,rally,Mughal Empire,,,text,20,12,true
Indian History,easy,Which of these is related to Indian History?,Plassey,polymorphism,garbage collection,ink,Plassey,,,text,20,12,true
Indian History,easy,Which option belongs to Indian History?,Ashoka,drug,receptor,App Store,Ashoka,,,text,20,12,true
Indian History,medium,Which term is most commonly used in Indian History?,billboard,character,Rebellion of 1857,Sumatra,Rebellion of 1857,,,text,40,10,true
Indian History,medium,Select the most relevant term for Indian History.,robot,Champaran,entrepreneur,ethics,Champaran,,,text,40,10,true
Indian History,medium,Select the most relevant term for Indian History.,ARPANET,radian,watering,Plassey,Plassey,,,text,40,10,true
Indian History,medium,Pick the concept that best matches Indian History.,Maurya Empire,aerodynamics,delta,Hindi cinema,Maurya Empire,,,text,40,10,true
Indian History,medium,Select the most relevant term for Indian History.,CSS,camera,perspective,Plassey,Plassey,,,text,40,10,true
Indian History,medium,Which term is most commonly used in Indian History?,Mughal Empire,achievement,slope,sequence,Mughal Empire,,,text,40,10,true
Indian History,medium,Which term is most commonly used in Indian History?,Rebellion of 1857,Mars rover,seed,garbage collection,Rebellion of 1857,,,text,40,10,true
Indian History,medium,Select the most relevant term for Indian History.,conductor,exoplanet,Maurya Empire,stump,Maurya Empire,,,text,40,10,true
Indian History,medium,Which term is most commonly used in Indian History?,screenplay,Harappa,Champaran,continent,Champaran,,,text,40,10,true
Indian History,medium,Pick the concept that best matches Indian History.,Indus Valley,oxidation,Rajasthan,processor,Indus Valley,,,text,40,10,true
Indian History,medium,Which option is a key concept in Indian History?,planting,level,logic,Rebellion of 1857,Rebellion of 1857,,,text,40,10,true
Indian History,medium,Select the most relevant term for Indian History.,gene,Arctic Ocean,Don Quixote,Mughal Empire,Mughal Empire,,,text,40,10,true
Indian History,medium,Select the most relevant term for Indian History.,Gupta Empire,Lake Superior,Australia,soil,Gupta Empire,,,text,40,10,true
Indian History,medium,Which option is a key concept in Indian History?,encryption,opera,K2,Delhi Sultanate,Delhi Sultanate,,,text,40,10,true
Indian History,medium,Which option is a key concept in Indian History?,mining,circle,Rebellion of 1857,global warming,Rebellion of 1857,,,text,40,10,true
Indian History,medium,Select the most relevant term for Indian History.,sonata,Rebellion of 1857,theme,patent,Rebellion of 1857,,,text,40,10,true
Indian History,medium,Select the most relevant term for Indian History.,radian,turbulence,Delhi Sultanate,World Wide Web,Delhi Sultanate,,,text,40,10,true
Indian History,medium,Select the most relevant term for Indian History.,Rebellion of 1857,legislature,email,Sumatra,Rebellion of 1857,,,text,40,10,true
Indian History,hard,Which term is most specifically associated with Indian History?,Champaran,exception,pip,atom,Champaran,,,text,80,8,true
Indian History,hard,Pick the most specific concept tied to Indian History.,couture,dance,torch,Delhi Sultanate,Delhi Sultanate,,,text,80,8,true
Indian History,hard,Select the most precise term for Indian History.,author,Gupta Empire,recipe,ecology,Gupta Empire,,,text,80,8,true
Indian History,hard,Select the most precise term for Indian History.,stock exchange,Maurya Empire,Kerala,warehouse,Maurya Empire,,,text,80,8,true
Indian History,hard,Pick the most specific concept tied to Indian History.,visitor center,Gupta Empire,stratification,trade agreement,Gupta Empire,,,text,80,8,true
Indian History,hard,Pick the most specific concept tied to Indian History.,returns,Alps,evolution,Rebellion of 1857,Rebellion of 1857,,,text,80,8,true
Indian History,hard,Select the most precise term for Indian History.,Akbar,tributary,polytheism,decorator,Akbar,,,text,80,8,true
Indian History,hard,Select the most precise term for Indian History.,Treaty of Versailles,Vishnu,Plassey,studio,Plassey,,,text,80,8,true
Indian History,hard,Which term is most specifically associated with Indian History?,floor plan,compound,Plassey,tragedy,Plassey,,,text,80,8,true
Indian History,hard,Which term is most specifically associated with Indian History?,Atacama,Ashoka,target audience,conversion,Ashoka,,,text,80,8,true
Indian History,hard,Which term is most specifically associated with Indian History?,mind,run rate,Delhi Sultanate,period,Delhi Sultanate,,,text,80,8,true
Indian History,hard,Select the most precise term for Indian History.,arid,carbon dioxide,model,Ashoka,Ashoka,,,text,80,8,true
Indian History,hard,Which option best characterizes Indian History?,Plassey,continuity,scripture,exoplanet,Plassey,,,text,80,8,true
Indian History,hard,Pick the most specific concept tied to Indian History.,Danube,striker,Hindi cinema,Rebellion of 1857,Rebellion of 1857,,,text,80,8,true
Indian History,hard,Pick the most specific concept tied to Indian History.,prime minister,star,altitude,Indus Valley,Indus Valley,,,text,80,8,true
Indian History,hard,Which option best characterizes Indian History?,Delhi Sultanate,Amazon,altitude,tributary,Delhi Sultanate,,,text,80,8,true
Indian History,hard,Which option best characterizes Indian History?,altitude,Mediterranean Sea,chancellor,Delhi Sultanate,Delhi Sultanate,,,text,80,8,true
Indian History,hard,Pick the most specific concept tied to Indian History.,gallery,optimization,Gupta Empire,share,Gupta Empire,,,text,80,8,true
Indian History,hard,Which option best characterizes Indian History?,translation,Gupta Empire,Sahara,migration,Gupta Empire,,,text,80,8,true
Indian History,hard,Pick the most specific concept tied to Indian History.,subject,charger,Ashoka,optimization,Ashoka,,,text,80,8,true
Indian History,hard,Which option best characterizes Indian History?,hashtag,Akbar,hero,Greenland,Akbar,,,text,80,8,true
Indian History,hard,Which option best characterizes Indian History?,sustainability,index,frame,Plassey,Plassey,,,text,80,8,true
Indian History,hard,Which option best characterizes Indian History?,statuette,tangent line,adaptation,Rebellion of 1857,Rebellion of 1857,,,text,80,8,true
Indian History,hard,Which option best characterizes Indian History?,Plassey,identity,symphony,Yangtze,Plassey,,,text,80,8,true
Ancient Civilization,easy,Pick the correct term for Ancient Civilization.,Mesopotamia,mind,star,steam engine,Mesopotamia,,,text,20,12,true
Ancient Civilization,easy,Select a term associated with Ancient Civilization.,Berlin Wall,policy debate,Sumer,altitude,Sumer,,,text,20,12,true
Ancient Civilization,easy,Which of these is related to Ancient Civilization?,habitat,app,cognition,Mesopotamia,Mesopotamia,,,text,20,12,true
Ancient Civilization,easy,Which option belongs to Ancient Civilization?,dance,wave,Karnataka,Mesopotamia,Mesopotamia,,,text,20,12,true
Ancient Civilization,easy,Pick the correct term for Ancient Civilization.,sonata,director,Babylon,spacewalk,Babylon,,,text,20,12,true
Ancient Civilization,easy,Which option belongs to Ancient Civilization?,neural network,rhyme,Indus Valley,liability,Indus Valley,,,text,20,12,true
Ancient Civilization,easy,Select a term associated with Ancient Civilization.,cockpit,map scale,dance,Hittites,Hittites,,,text,20,12,true
Ancient Civilization,easy,Select a term associated with Ancient Civilization.,Egyptians,promotion,hash,SEO,Egyptians,,,text,20,12,true
Ancient Civilization,easy,Which option belongs to Ancient Civilization?,suspension,clause,Mohenjo-daro,recursion,Mohenjo-daro,,,text,20,12,true
Ancient Civilization,easy,Which of these is related to Ancient Civilization?,authorization,taste,Egyptians,dialect,Egyptians,,,text,20,12,true
Ancient Civilization,easy,Select a term associated with Ancient Civilization.,striker,market cap,class,Mohenjo-daro,Mohenjo-daro,,,text,20,12,true
Ancient Civilization,easy,Pick the correct term for Ancient Civilization.,lungs,stanza,Egyptians,fertilizer,Egyptians,,,text,20,12,true
Ancient Civilization,easy,Which of these is related to Ancient Civilization?,Industrial Revolution,Mediterranean Sea,Babylon,Indian Ocean,Babylon,,,text,20,12,true
Ancient Civilization,easy,Pick the correct term for Ancient Civilization.,Treaty of Versailles,memory,clergy,Indus Valley,Indus Valley,,,text,20,12,true
Ancient Civilization,easy,Which of these is related to Ancient Civilization?,theme,net,knight,Mesopotamia,Mesopotamia,,,text,20,12,true
Ancient Civilization,easy,Which option belongs to Ancient Civilization?,training data,Mesopotamia,democracy,prize,Mesopotamia,,,text,20,12,true
Ancient Civilization,easy,Pick the correct term for Ancient Civilization.,election,striker,Egyptians,posture,Egyptians,,,text,20,12,true
Ancient Civilization,easy,Which option belongs to Ancient Civilization?,bake,host city,Assyrians,fraction,Assyrians,,,text,20,12,true
Ancient Civilization,medium,Which option is a key concept in Ancient Civilization?,endgame,innings,skyscraper,Phoenicians,Phoenicians,,,text,40,10,true
Ancient Civilization,medium,Which option is a key concept in Ancient Civilization?,Egyptians,semi-arid,arch,protected area,Egyptians,,,text,40,10,true
Ancient Civilization,medium,Which option is a key concept in Ancient Civilization?,formation,AI,explorer,Harappa,Harappa,,,text,40,10,true
Ancient Civilization,medium,Select the most relevant term for Ancient Civilization.,hypotenuse,Phoenicians,conversion,globe,Phoenicians,,,text,40,10,true
Ancient Civilization,medium,Pick the concept that best matches Ancient Civilization.,gallery,Indus Valley,inflation,triangle,Indus Valley,,,text,40,10,true
Ancient Civilization,medium,Select the most relevant term for Ancient Civilization.,return,entrepreneur,Mohenjo-daro,red carpet,Mohenjo-daro,,,text,40,10,true
Ancient Civilization,medium,Pick the concept that best matches Ancient Civilization.,serve,inventory,Hittites,opening ceremony,Hittites,,,text,40,10,true
Ancient Civilization,medium,Which term is most commonly used in Ancient Civilization?,deuce,virtualenv,Mohenjo-daro,operating system,Mohenjo-daro,,,text,40,10,true
Ancient Civilization,medium,Pick the concept that best matches Ancient Civilization.,balance,over,Assyrians,epistemology,Assyrians,,,text,40,10,true
Ancient Civilization,medium,Select the most relevant term for Ancient Civilization.,Harappa,heart,rebound,costume,Harappa,,,text,40,10,true
Ancient Civilization,medium,Pick the concept that best matches Ancient Civilization.,alphabet,volatility,Lake Victoria,Babylon,Babylon,,,text,40,10,true
Ancient Civilization,medium,Pick the concept that best matches Ancient Civilization.,Mohenjo-daro,legislature,internet,infrastructure,Mohenjo-daro,,,text,40,10,true
Ancient Civilization,medium,Which term is most commonly used in Ancient Civilization?,re-entry,nervous system,Sri Lanka,Sumer,Sumer,,,text,40,10,true
Ancient Civilization,medium,Which term is most commonly used in Ancient Civilization?,Harappa,Android,philanthropist,Odyssey,Harappa,,,text,40,10,true
Ancient Civilization,medium,Which term is most commonly used in Ancient Civilization?,continuity,pronoun,Harappa,patient,Harappa,,,text,40,10,true
Ancient Civilization,medium,Select the most relevant term for Ancient Civilization.,Babylon,servo,myth,portfolio,Babylon,,,text,40,10,true
Ancient Civilization,medium,Select the most relevant term for Ancient Civilization.,Australia,canvas,Plassey,Egyptians,Egyptians,,,text,40,10,true
Ancient Civilization,medium,Pick the concept that best matches Ancient Civilization.,noun,peak,Mohenjo-daro,concert,Mohenjo-daro,,,text,40,10,true
Ancient Civilization,hard,Which option best characterizes Ancient Civilization?,Egyptians,strings,arid,noun,Egyptians,,,text,80,8,true
Ancient Civilization,hard,Select the most precise term for Ancient Civilization.,Gujarat,Mesopotamia,ace,relay,Mesopotamia,,,text,80,8,true
Ancient Civilization,hard,Which term is most specifically associated with Ancient Civilization?,focus,RPG,Mesopotamia,Arctic Ocean,Mesopotamia,,,text,80,8,true
Ancient Civilization,hard,Which term is most specifically associated with Ancient Civilization?,overfitting,coefficient,Divine Comedy,Egyptians,Egyptians,,,text,80,8,true
Ancient Civilization,hard,Pick the most specific concept tied to Ancient Civilization.,sonata,Indian Ocean,Sumer,justice,Sumer,,,text,80,8,true
Ancient Civilization,hard,Which option best characterizes Ancient Civilization?,infrastructure,crop,Mesopotamia,hero,Mesopotamia,,,text,80,8,true
Ancient Civilization,hard,Pick the most specific concept tied to Ancient Civilization.,patient,Assyrians,internet,trade agreement,Assyrians,,,text,80,8,true
Ancient Civilization,hard,Which option best characterizes Ancient Civilization?,striker,Athena,Sumer,Ganga,Sumer,,,text,80,8,true
Ancient Civilization,hard,Which option best characterizes Ancient Civilization?,relay,Physics,router,Babylon,Babylon,,,text,80,8,true
Ancient Civilization,hard,Pick the most specific concept tied to Ancient Civilization.,Babylon,robot,recycling,supply chain,Babylon,,,text,80,8,true
Ancient Civilization,hard,Which term is most specifically associated with Ancient Civilization?,Assyrians,Delhi Sultanate,engagement,climate policy,Assyrians,,,text,80,8,true
Ancient Civilization,hard,Which option best characterizes Ancient Civilization?,Egyptians,exception,Industrial Revolution,genre,Egyptians,,,text,80,8,true
Ancient Civilization,hard,Which term is most specifically associated with Ancient Civilization?,stripe,Mesopotamia,virtue,Nobel Prize,Mesopotamia,,,text,80,8,true
Ancient Civilization,hard,Which option best characterizes Ancient Civilization?,Indus Valley,hemisphere,parliament,Bollywood,Indus Valley,,,text,80,8,true
Ancient Civilization,hard,Select the most precise term for Ancient Civilization.,Mesopotamia,perspective,unit circle,global warming,Mesopotamia,,,text,80,8,true
Ancient Civilization,hard,Pick the most specific concept tied to Ancient Civilization.,unit circle,dot-com,therapy,Mesopotamia,Mesopotamia,,,text,80,8,true
Ancient Civilization,hard,Which option best characterizes Ancient Civilization?,periodic table,Indus Valley,franchise,statuette,Indus Valley,,,text,80,8,true
Ancient Civilization,hard,Which option best characterizes Ancient Civilization?,Sumer,smart contract,homeostasis,intrusion,Sumer,,,text,80,8,true
Ancient Civilization,hard,Which option best characterizes Ancient Civilization?,migration,Sumer,venture capital,playlist,Sumer,,,text,80,8,true
Ancient Civilization,hard,Which term is most specifically associated with Ancient Civilization?,Iliad,prescription,greenhouse,Sumer,Sumer,,,text,80,8,true
Ancient Civilization,hard,Which option best characterizes Ancient Civilization?,stock exchange,oxidation,alphabet,Indus Valley,Indus Valley,,,text,80,8,true
Ancient Civilization,hard,Select the most precise term for Ancient Civilization.,Harappa,compound,democracy,automation,Harappa,,,text,80,8,true
Ancient Civilization,hard,Which option best characterizes Ancient Civilization?,carbon footprint,pivot,Mohenjo-daro,polygon,Mohenjo-daro,,,text,80,8,true
Ancient Civilization,hard,Which term is most specifically associated with Ancient Civilization?,DOM,design,protein,Phoenicians,Phoenicians,,,text,80,8,true
Modern History,easy,Select a term associated with Modern History.,society,globalization,mining,star,globalization,,,text,20,12,true
Modern History,easy,Which of these is related to Modern History?,globalization,postmodern,gravity,floor plan,globalization,,,text,20,12,true
Modern History,easy,Pick the correct term for Modern History.,longitude,constellation,decolonization,diplomacy,decolonization,,,text,20,12,true
Modern History,easy,Which of these is related to Modern History?,Berlin Wall,carbon footprint,narrator,planning,Berlin Wall,,,text,20,12,true
Modern History,easy,Pick the correct term for Modern History.,oil paint,irrigation,Industrial Revolution,net,Industrial Revolution,,,text,20,12,true
Modern History,easy,Which option belongs to Modern History?,Indus Valley,cognition,circle,Industrial Revolution,Industrial Revolution,,,text,20,12,true
Modern History,easy,Which of these is related to Modern History?,Berlin Wall,over,festivals,phonetics,Berlin Wall,,,text,20,12,true
Modern History,easy,Which option belongs to Modern History?,United Nations,share,graphic novel,planting,United Nations,,,text,20,12,true
Modern History,easy,Pick the correct term for Modern History.,Berlin Wall,diagnosis,box office,single,Berlin Wall,,,text,20,12,true
Modern History,easy,Select a term associated with Modern History.,Industrial Revolution,autonomy,optimization,haiku,Industrial Revolution,,,text,20,12,true
Modern History,easy,Pick the correct term for Modern History.,color,feed,Treaty of Versailles,ISO,Treaty of Versailles,,,text,20,12,true
Modern History,easy,Which of these is related to Modern History?,United Nations,K2,Mississippi,equation,United Nations,,,text,20,12,true
Modern History,easy,Which of these is related to Modern History?,costume,soil,Treaty of Versailles,supply chain,Treaty of Versailles,,,text,20,12,true
Modern History,easy,Select a term associated with Modern History.,Industrial Revolution,exposure,pruning,innings,Industrial Revolution,,,text,20,12,true
Modern History,easy,Select a term associated with Modern History.,router,automation,globalization,superhero,globalization,,,text,20,12,true
Modern History,easy,Which option belongs to Modern History?,torch,World War I,franchise,ink,World War I,,,text,20,12,true
Modern History,easy,Which of these is related to Modern History?,conservation,globalization,comic,wildlife reserve,globalization,,,text,20,12,true
Modern History,easy,Which of these is related to Modern History?,optimization,Berlin Wall,JavaScript,volcanic island,Berlin Wall,,,text,20,12,true
Modern History,medium,Pick the concept that best matches Modern History.,prayer,level,Cold War,Nobel Prize,Cold War,,,text,40,10,true
Modern History,medium,Which term is most commonly used in Modern History?,expression,Treaty of Versailles,side effect,innings,Treaty of Versailles,,,text,40,10,true
Modern History,medium,Pick the concept that best matches Modern History.,League of Nations,Sumer,guild,Gulf,League of Nations,,,text,40,10,true
Modern History,medium,Which term is most commonly used in Modern History?,decolonization,issue,drug,fraction,decolonization,,,text,40,10,true
Modern History,medium,Pick the concept that best matches Modern History.,World War I,foundation,habitat,side effect,World War I,,,text,40,10,true
Modern History,medium,Which term is most commonly used in Modern History?,Cold War,theme,photosynthesis,arid,Cold War,,,text,40,10,true
Modern History,medium,Which option is a key concept in Modern History?,planning,ink,emotion,United Nations,United Nations,,,text,40,10,true
Modern History,medium,Which term is most commonly used in Modern History?,Harappa,strings,area under curve,League of Nations,League of Nations,,,text,40,10,true
Modern History,medium,Which term is most commonly used in Modern History?,dollar,regression,decolonization,ace,decolonization,,,text,40,10,true
Modern History,medium,Select the most relevant term for Modern History.,dish,Berlin Wall,Literature,mulch,Berlin Wall,,,text,40,10,true
Modern History,medium,Select the most relevant term for Modern History.,playback,United Nations,identity,coefficient,United Nations,,,text,40,10,true
Modern History,medium,Which option is a key concept in Modern History?,telescope,blockbuster,camera,decolonization,decolonization,,,text,40,10,true
Modern History,medium,Which term is most commonly used in Modern History?,ISP,vaccine,continent,League of Nations,League of Nations,,,text,40,10,true
Modern History,medium,Which option is a key concept in Modern History?,League of Nations,foundation,index,angle,League of Nations,,,text,40,10,true
Modern History,medium,Which option is a key concept in Modern History?,Berlin Wall,match point,elasticity,ice melt,Berlin Wall,,,text,40,10,true
Modern History,medium,Pick the concept that best matches Modern History.,election cycle,run rate,decolonization,autonomy,decolonization,,,text,40,10,true
Modern History,medium,Pick the concept that best matches Modern History.,merger,mind,emotion,League of Nations,League of Nations,,,text,40,10,true
Modern History,medium,Pick the concept that best matches Modern History.,fertilizer,World War I,hashtag,deviance,World War I,,,text,40,10,true
Modern History,hard,Pick the most specific concept tied to Modern History.,packaging,World War I,flexibility,ISO,World War I,,,text,80,8,true
Modern History,hard,Which term is most specifically associated with Modern History?,pattern,aircraft,Treaty of Versailles,single,Treaty of Versailles,,,text,80,8,true
Modern History,hard,Select the most precise term for Modern History.,rhyme,constitution,Oscar,decolonization,decolonization,,,text,80,8,true
Modern History,hard,Select the most precise term for Modern History.,posture,short story,virtualenv,United Nations,United Nations,,,text,80,8,true
Modern History,hard,Which option best characterizes Modern History?,Treaty of Versailles,app,boundary,shipping,Treaty of Versailles,,,text,80,8,true
Modern History,hard,Which term is most specifically associated with Modern History?,United Nations,entrepreneur,actuator,interest,United Nations,,,text,80,8,true
Modern History,hard,Which term is most specifically associated with Modern History?,filmfare,Literature,Industrial Revolution,bowler,Industrial Revolution,,,text,80,8,true
Modern History,hard,Select the most precise term for Modern History.,World War I,protein,microscope,metabolism,World War I,,,text,80,8,true
Modern History,hard,Select the most precise term for Modern History.,space planning,cape,League of Nations,achievement,League of Nations,,,text,80,8,true
Modern History,hard,Which term is most specifically associated with Modern History?,United Nations,sea level,follower,concerto,United Nations,,,text,80,8,true
Modern History,hard,Pick the most specific concept tied to Modern History.,scientist,battery,tense,Cold War,Cold War,,,text,80,8,true
Modern History,hard,Which term is most specifically associated with Modern History?,United Nations,screenplay,identity,taste,United Nations,,,text,80,8,true
Modern History,hard,Which option best characterizes Modern History?,diplomacy,Industrial Revolution,penalty,flavor,Industrial Revolution,,,text,80,8,true
Modern History,hard,Which option best characterizes Modern History?,Industrial Revolution,silhouette,Amazon,radius,Industrial Revolution,,,text,80,8,true
Modern History,hard,Which term is most specifically associated with Modern History?,dance,hook,session,decolonization,decolonization,,,text,80,8,true
Modern History,hard,Pick the most specific concept tied to Modern History.,queen,achievement,Treaty of Versailles,North America,Treaty of Versailles,,,text,80,8,true
Modern History,hard,Which option best characterizes Modern History?,modem,compost,emotion,Cold War,Cold War,,,text,80,8,true
